,Date,Home,HomeP,Away,AwayP,HomeD,AwayD
0,21-10-2025 18:30,Oklahoma City Thunder,125,Houston Rockets,124,"[['Shai Gilgeous-Alexander', ""47'"", '35', '5', '5'], ['Cason Wallace', ""42'"", '14', '7', '5'], ['Luguentz Dort', ""45'"", '6', '6', '5'], ['Chet Holmgren', ""39'"", '28', '7', '2'], ['Isaiah Hartenstein', ""37'"", '6', '8', '5'], ['Alex Caruso', ""30'"", '8', '2', '3'], ['Aaron Wiggins', ""21'"", '10', '1', '1'], ['Mitchell A.', ""15'"", '16', '2', '2'], ['Jaylin Williams', ""13'"", '2', '0', '1'], ['Barnhizer B.', ""2'"", '0', '0', '0'], ['Youngblood C.', ""1'"", '0', '0', '0']]","[['Kevin Durant', ""47'"", '23', '9', '3'], ['Thompson A.', ""39'"", '18', '4', '5'], ['Sengun A.', ""49'"", '39', '11', '7'], ['Smith Jr. J.', ""42'"", '16', '5', '0'], ['S.Adams', ""37'"", '4', '13', '3'], ['Sheppard R.', ""28'"", '9', '2', '4'], ['Eason T.', ""22'"", '3', '6', '0'], ['Okogie J.', ""20'"", '8', '2', '1'], ['Clint Capela', ""8'"", '4', '0', '0']]"
1,21-10-2025 21:00,Los Angeles Lakers,109,Golden State Warriors,119,"[['Doncic L.', ""41'"", '43', '12', '9'], ['Vincent G.', ""29'"", '3', '0', '1'], ['Reaves A.', ""36'"", '26', '5', '9'], ['Hachimura R.', ""35'"", '9', '4', '3'], ['Deandre Ayton', ""34'"", '10', '6', '0'], ['Marcus Smart', ""23'"", '9', '0', '0'], ['Jake LaRavia', ""16'"", '5', '3', '0'], ['Hayes J.', ""14'"", '4', '6', '1'], ['J.Vanderbilt', ""12'"", '0', '3', '0']]","[['Podziemski B.', ""33'"", '7', '7', '2'], ['Curry S.', ""32'"", '23', '1', '4'], ['Butler J.', ""35'"", '31', '5', '4'], ['Kuminga J.', ""33'"", '17', '9', '6'], ['Green D.', ""28'"", '8', '7', '9'], ['Hield B.', ""22'"", '17', '1', '0'], ['Horford A.', ""20'"", '5', '5', '1'], ['Richard W.', ""14'"", '5', '1', '1'], ['Payton G.', ""12'"", '6', '2', '1'], ['Q·Post', ""9'"", '0', '2', '1'], ['Santos G.', ""3'"", '0', '0', '0']]"
2,22-10-2025 18:00,New York Knicks,119,Cleveland Cavaliers,111,"[['Brunson J.', ""34'"", '23', '4', '5'], ['Bridges M.', ""33'"", '16', '5', '6'], ['Anunoby OG.', ""38'"", '24', '14', '2'], ['Towns K.', ""31'"", '19', '11', '2'], ['Hukporti A.', ""18'"", '2', '5', '2'], ['M.McBride', ""26'"", '15', '2', '1'], ['Kolek T.', ""14'"", '7', '1', '2'], ['L.Shamet', ""14'"", '9', '2', '1'], ['Jordan Clarkson', ""13'"", '4', '1', '1'], ['Yabusele G.', ""12'"", '0', '1', '0'], ['Jemison T.', ""8'"", '0', '2', '0']]","[['D.Mitchell', ""36'"", '31', '2', '5'], ['S.Merrill', ""28'"", '19', '3', '1'], ['E.Mobley', ""36'"", '22', '8', '3'], ['Tyson J.', ""20'"", '5', '2', '1'], ['Jarrett Allen', ""28'"", '4', '4', '1'], ['D.Wade', ""28'"", '10', '2', '0'], ['Lonzo Ball', ""23'"", '3', '4', '6'], ['Larry Nance Jr', ""17'"", '10', '6', '1'], ['Proctor T.', ""16'"", '5', '1', '2'], ['Porter C.', ""7'"", '2', '0', '1']]"
3,22-10-2025 18:00,Charlotte Hornets,136,Brooklyn Nets,117,"[['LaMelo Ball', ""34'"", '20', '2', '8'], ['Brandon Miller', ""31'"", '25', '0', '7'], ['Miles Bridges', ""31'"", '18', '11', '4'], ['Knueppel K.', ""25'"", '11', '5', '1'], ['Kalkbrenner R.', ""27'"", '10', '11', '1'], ['Moussa Diabate', ""21'"", '13', '9', '0'], ['Tre Mann', ""21'"", '12', '3', '6'], ['James S.', ""17'"", '2', '4', '2'], ['Salaun T.', ""17'"", '10', '4', '1'], ['Collin Sexton', ""17'"", '15', '1', '3']]","[['Cameron Thomas', ""24'"", '15', '1', '2'], ['Saraf B.', ""20'"", '8', '7', '4'], ['Porter M.', ""25'"", '12', '4', '5'], ['Terance Mann', ""19'"", '13', '1', '1'], ['Nicolas Claxton', ""23'"", '17', '4', '2'], ['Tyrese Martin', ""26'"", '5', '3', '5'], ['Demin E.', ""22'"", '14', '5', '2'], ['Noah Clowney', ""20'"", '5', '4', '2'], ['Jalen Wilson', ""15'"", '8', '0', '0'], ['Ziaire Williams', ""15'"", '1', '3', '1'], [""Day'Ron Sharpe"", ""14'"", '14', '4', '0'], ['Traore N.', ""9'"", '3', '0', '1'], ['Powell D.', ""7'"", '2', '2', '0']]"
4,22-10-2025 18:00,Orlando Magic,125,Miami Heat,121,"[['Bane D.', ""33'"", '23', '4', '3'], ['Suggs J.', ""17'"", '14', '4', '2'], ['Wagner F.', ""36'"", '24', '4', '6'], ['Banchero P.', ""35'"", '24', '11', '1'], ['Carter W.', ""30'"", '9', '8', '1'], ['Tyus Jones', ""24'"", '0', '2', '3'], ['Black A.', ""23'"", '7', '3', '3'], ['Bitadze G.', ""19'"", '8', '8', '4'], ['da Silva T.', ""18'"", '16', '1', '0'], ['Isaac J.', ""7'"", '0', '1', '0']]","[['Powell N.', ""36'"", '28', '9', '4'], ['Mitchell D.', ""35'"", '16', '6', '12'], ['Wiggins A.', ""32'"", '18', '4', '1'], ['Jovic N.', ""23'"", '9', '3', '0'], ['Adebayo B.', ""34'"", '15', '12', '2'], ['Jaquez Jr. J.', ""30'"", '13', '6', '1'], ['Fontecchio S.', ""19'"", '13', '2', '1'], ['Ware K.', ""14'"", '7', '4', '0'], ['Smith D.', ""13'"", '2', '1', '5'], ['Larsson P.', ""4'"", '0', '0', '0']]"
5,22-10-2025 18:30,Atlanta Hawks,118,Toronto Raptors,138,"[['Trae Young', ""34'"", '22', '1', '5'], ['Dyson Daniels', ""23'"", '4', '3', '2'], ['Johnson J.', ""35'"", '22', '7', '8'], ['Risacher Z.', ""21'"", '16', '2', '0'], ['Porzingis K.', ""26'"", '20', '7', '2'], ['Onyeka Okongwu', ""30'"", '18', '6', '1'], ['L.Kennard', ""30'"", '6', '4', '3'], ['Alexander-Walker N.', ""28'"", '10', '4', '4'], ['Keaton Wallace', ""9'"", '0', '0', '0'], ['Mouhamed Gueye', ""5'"", '0', '0', '0']]","[['RJ Barrett', ""30'"", '25', '8', '5'], ['Immanuel Quickley', ""29'"", '13', '4', '8'], ['Scottie Barnes', ""32'"", '22', '6', '9'], ['Brandon Ingram', ""27'"", '16', '9', '3'], ['Poeltl J.', ""22'"", '14', '6', '2'], ['Gradey Dick', ""24'"", '21', '5', '0'], ['Ochai Agbaji', ""20'"", '4', '3', '1'], ['Shead J.', ""19'"", '10', '2', '5'], ['Mamukelashvili S.', ""17'"", '7', '4', '3'], ['Mogbo J.', ""11'"", '4', '4', '0'], ['Battle J.', ""9'"", '2', '3', '0']]"
6,22-10-2025 18:30,Boston Celtics,116,Philadelphia 76ers,117,"[['Pritchard P.', ""37'"", '16', '5', '2'], ['White D.', ""35'"", '25', '3', '4'], ['Brown J.', ""36'"", '25', '6', '4'], ['Hauser S.', ""22'"", '8', '2', '1'], ['Queta N.', ""25'"", '17', '8', '0'], ['Anfernee Simons', ""32'"", '13', '4', '1'], ['Tillman X.', ""16'"", '4', '7', '1'], ['Chris Boucher', ""16'"", '6', '4', '1'], ['Minott J.', ""14'"", '2', '2', '2'], ['Garza L.', ""6'"", '0', '1', '0']]","[['VJ Edgecombe', ""42'"", '34', '7', '3'], ['Tyrese Maxey', ""41'"", '40', '2', '6'], ['Barlow D.', ""34'"", '13', '8', '5'], ['Kelly Oubre Jr', ""34'"", '10', '4', '1'], ['Joel Embiid', ""20'"", '4', '6', '2'], ['Quentin Grimes', ""32'"", '10', '5', '5'], ['Jabari Walker', ""19'"", '6', '4', '0'], ['Bona Adem', ""15'"", '0', '3', '1'], ['Andre Drummond', ""3'"", '0', '1', '0'], ['Edwards J.', ""1'"", '0', '0', '0']]"
7,22-10-2025 19:00,Chicago Bulls,115,Detroit Pistons,111,"[['Tre Jones', ""32'"", '12', '1', '8'], ['Josh Giddey', ""29'"", '19', '5', '11'], ['Buzelis M.', ""34'"", '21', '6', '1'], ['I.Okoro', ""23'"", '0', '5', '4'], ['Vucevic N.', ""33'"", '28', '14', '2'], ['Ayo Dosunmu', ""27'"", '14', '5', '2'], ['Kevin Huerter', ""27'"", '15', '5', '0'], ['Patrick Williams', ""17'"", '4', '4', '0'], ['Jalen Smith', ""14'"", '2', '5', '1'], ['Dalen Terry', ""6'"", '0', '0', '0']]","[['Cunningham C.', ""34'"", '23', '7', '10'], ['Robinson D.', ""32'"", '2', '0', '0'], ['Harris T.', ""34'"", '10', '9', '4'], ['Thompson A.', ""33'"", '11', '9', '7'], ['Duren J.', ""20'"", '15', '6', '1'], ['Holland R.', ""27'"", '19', '4', '3'], ['Stewart I.', ""25'"", '20', '10', '2'], ['Caris LeVert', ""21'"", '8', '1', '2'], ['Green', ""10'"", '0', '0', '0'], ['Reed P.', ""3'"", '3', '0', '0']]"
8,22-10-2025 19:00,Memphis Grizzlies,128,New Orleans Pelicans,122,"[['Ja Morant', ""29'"", '35', '3', '3'], ['Wells J.', ""28'"", '14', '3', '4'], ['Caldwell-Pope K.', ""31'"", '15', '4', '3'], ['Jackson J.', ""27'"", '18', '8', '1'], ['Landale J.', ""25'"", '10', '4', '0'], ['Aldama S.', ""24'"", '5', '6', '2'], ['Coward C.', ""22'"", '14', '3', '1'], ['Small J.', ""19'"", '0', '0', '3'], ['Olivier-Maxence Prosper', ""15'"", '10', '5', '0'], ['Spencer C.', ""12'"", '7', '0', '2'], ['Konchar J.', ""8'"", '0', '3', '1']]","[['Jones H.', ""36'"", '17', '9', '3'], ['Poole J.', ""31'"", '17', '0', '2'], ['Williamson Z.', ""33'"", '27', '9', '5'], ['Murphy T.', ""32'"", '13', '7', '3'], ['Missi Y.', ""23'"", '5', '7', '1'], ['Bey S.', ""30'"", '13', '6', '3'], ['Fears J.', ""18'"", '17', '0', '2'], ['Hawkins J.', ""17'"", '8', '4', '1'], ['Queen D.', ""15'"", '3', '5', '0'], ['Dickinson H.', ""5'"", '2', '0', '0']]"
9,22-10-2025 19:00,Milwaukee Bucks,133,Washington Wizards,120,"[['Green A.', ""27'"", '11', '3', '1'], ['Porter Jr.', ""9'"", '10', '0', '2'], ['Antetokounmpo G.', ""27'"", '37', '14', '5'], ['Trent G.', ""24'"", '17', '4', '2'], ['Turner M.', ""29'"", '11', '8', '5'], ['Rollins R.', ""29'"", '9', '4', '3'], ['Kuzma K.', ""23'"", '12', '4', '3'], ['Prince T.', ""22'"", '11', '1', '2'], ['Portis B.', ""17'"", '2', '6', '1'], ['Coffey A.', ""13'"", '2', '0', '2'], ['Anthony C.', ""12'"", '9', '2', '5'], ['Jackson A.', ""2'"", '0', '0', '0'], ['Sims', ""2'"", '2', '0', '0'], ['Antetokounmpo T.', ""2'"", '0', '0', '0'], ['Harris G.', ""2'"", '0', '0', '0']]","[['Carrington C.', ""29'"", '11', '5', '2'], ['C.J. McCollum', ""29'"", '9', '6', '3'], ['George K.', ""32'"", '21', '9', '4'], ['Khris Middleton', ""29'"", '23', '6', '3'], ['Sarr A.', ""26'"", '10', '11', '3'], ['Johnson T.', ""26'"", '16', '5', '2'], ['Whitmore C.', ""19'"", '14', '5', '1'], ['Corey Kispert', ""18'"", '11', '1', '1'], ['Bagley M.', ""15'"", '1', '3', '1'], ['Justin Champagnie', ""6'"", '0', '3', '1'], ['Riley W.', ""4'"", '2', '1', '1'], ['Johnson A.', ""2'"", '0', '1', '1'], ['Vukcevic T.', ""2'"", '0', '0', '0'], ['Cooper S.', ""2'"", '0', '0', '0'], ['Anthony Gill', ""2'"", '2', '0', '0']]"
